etapa,providencia,area,enquadramento,objetivos,ficha_tecnica,situacao,outras_fontes,acessibilidade,sinopse,nome,cgccpf,mecanismo,segmento,PRONAC,estrategia_execucao,valor_aprovado,justificativa,resumo,valor_solicitado,especificacao_tecnica,municipio,data_termino,UF,impacto_ambiental,democratizacao,valor_projeto,proponente,ano_projeto,data_inicio,valor_captado,valor_proposta
"As As etapas para para realização do projeto são: 1. Idealização e formatação das atrações, estratégias e logística; 2. Acerto entre os produtores do evento para a sua realização; 3. Formatação","Encaminho Ofício nº 2057/2009 CGAPIF/DIC/SEFIC/MINC ao proponente informando da decisão da 172ª Reunião da CNIC de indeferir o projeto. Em 19/12/2009.","Artes Cênicas","Artigo 26","O projeto Pão Alegria e Fantasia tem por objetivo a realização de evento teatral voltado ao público infanto-juvenil, contando com 100 apresentações, durante 4 meses. A história infantil será proposta","Ficha Técnica - Pão Alegria e Fantasia Apresentações: 100 - 4 meses - Entrada Franca Duração da peça: 40 minutos Local: São Paulo, Guarulhos, Osasco, Suzano, Arujá e Itaququecetuba Coordenação","Indeferido - não enquadramento nos objetivos e fins da Lei 8313/91 ou do Decreto 5761/06",0.0,"A Proponente informa que as medidas de acessibilidade para garantir o acesso aos Portadores de Necessidades Especiais compreendem os seguintes requisitos: Os banheiros para uso do público visitante","AO:. MINISTERIO DA CULTURA De: FALL PRODUÇÕES ARTISTICAS Faiçal Jorge Abdalla Sinopse Pedro pão é um vendedor, muito carismático e galanteador. Usa uma bicicleta toda enfeitada e com enorme cesto na frente, como meio de transporte de seus produtos. Não tem o menor cuidado com a higiene. Apesar de ser brega tem o dom da oratória e rapidamente conquista a freguesia por onde passa. Sempre bem arrumado, perfumado e com gel no cabelo, uma espécie de Zé Bonitinho arranca suspiros das moças solteiras e também de algumas mulheres casadas, que são suas preferidas. Por causa desse perfil, esse malandro se envolverá em algumas encrencas que farão o público dar muitas risadas.","PÃO ALEGRIA E FANTASIA","09219704000124","Mecenato","Teatro","094752","Não temos nada na peça que seja dentro das especificações acima.",0.0,"O projeto se justifica à medida que o teatro, como forma de expressão cultural, é um dos mais fortes instrumentos capaz de reunir a comunidade em prol de uma consciência coletiva, neste caso, o ensina","Através deste projeto teatral, Pão Alegria e Fantasia promover a INTEGRAÇÃO ALUNO ESCOLA COMUNIDADE E A ARTE, focalizando genericamente a relação dos participantes com seu meio, assim como exercício de direitos e deveres civis e sociais. Nessa peça, apresentaremos uma história interativa e através do lúdico discutira valores como: Etica, cidadania, levando em consideração a realidade das crianças atendidas.",1132950.0,"Por se tratar de uma peça Teatral não usaremos nada de acervos ou exposição de qualquer que seja o acervo","São Paulo","2010-03-25","SP","Por se tratar de uma peça Teatral, não teremos impacto ambiental sobre nossas apresentações ou locais das apresentações da Peça.","As mediadas de Democratização para realização do evento, de acordo com o estipulado no artigo 27 do Decreto 5761/2006 são: Entrada franca, ou seja, o livre acesso aos locais de apresentação. Os fl",0.0,"FALL PRODUÇÕES ARTISTICAS E EVENTOS LTDA","09","2009-11-25",0.0,1132950.0
"Primeira etapa - de 25 de Outubro de 2009 a 25 de Novembro de 2009: Busca de patrocinadores, confirmação dos participantes e início da divulgação do evento. Segunda etapa - de 25 de Novembro de 2009 a","Projeto ARQUIVADO, conforme solicitação do proponente constante nos autos.","Artes Integradas","Artigo 26","Desenvolver um novo conceito em termos de manifestações artísticas e culturais, onde cada etnia formadora da cultura brasileira possa mostrar a sua dança, o seu canto, o seu instrumental, a sua indume","Coordenação Geral Maria Cleia Cunha Sperling - Produtora Cultural - Presidente do Festival Brasileiro de Etnias, do Maturifest-Festival Internacional da Maturidade, Festival Náutico Brasileiro e Proje","Arquivado - solicitação de arquivamento, de projeto de incentivo fiscal, feito pelo proponente",0.0,"Serão garantidas todas as ações de acessibilidade aos idosos e portadores de deficiência, tais como leitura de sinais, lugares especiais e facilidade de acesso.","Não aplicável ao evento.","Festival Brasileiro de Etnias","02961277000106","Mecenato","Restauração/Bolsas","094753","O Festival Brasileiro de Etnias terá 5 dias de duração, sendo um dia - das 9 às 18 horas - para cada região apresentar todas as suas manifestações artísticas e culturais. As oficinas Mitos e Lendas d",950004.0,"A maior riquesa do Brasil é a sua diversidade cultural. Manter viva as nossas tradições e o nosso folclore, mais que um resgate das nossas origens, é uma exelente fonte de renda e incentivo ao turismo","Mostrar todas as formas de manifestação artística e cultural das etnias que formaram a cultura brasileira: dança, canto, instrumental, indumentária, artesanato e gastronomia. Homenagear etnias e imigrantes, promovendo a confraternização de comunidades e folcloristas de todas as regiões do Brasil, estimulando a preservação e sustentabilidade do folclore. Cada região terá espaço para apresentações artísticas, feira de artezanato, degustação e comercialização de comidas e bebidas típicas.",1116580.0,"Não aplicável ao evento.","Porto Alegre","2010-12-31","RS","Não aplicável ao evento, visto que todas as ações serão desenvolvidas em áreas internas.","O acesso ao local de realização do evento será gratuito, possibilitando a participação do grande público.",950004.0,"Maria Cleia Cunha Sperling","09","2010-04-01",0.0,1116580.0
"Pré-Produção · curadoria e convites a artistas · contratos com os artistas convidados · Escolha do repertório do show principal · produção dos arranjos musicais para o show principal · contrata","Prestação de Contas APROVADA conforme, Portaria nº 101, de 19 de Fevereiro de 2015, publicada no Diário Oficial da União, de 20 de Fevereiro de 2015 - sexta feira - Seção 1 página 06.","Música","Artigo 26","Em 2009, a Declaração Universal dos Direitos Humanos completará 61 anos e a cidade do Recife-PE foi escolhida para sediar a 4ª Semana dos Direitos Humanos: Iguais na Diferença. A meta é de atingir um","Curadoria e Direção - Antonio Nóbrega Nascido em 1952, é músico, dançarino e ator. Integrou, o Quinteto Armorial A partir de 76 cria os espetáculos A Bandeira do Divino, A Arte da Cantoria, M","Prestação de Contas Aprovada",0.0,"Háverá espaço especialmente reservado para os portadores de necessidades especiais em locais próximos aos palcos dos shows, assim com facilitação no acesso aos mesmos.","não aplicável","4ª. Semana dos Direitos Humanos: Iguais na Diferença","73155491000113","Mecenato","Música Popular Cantada","094764","não aplicável",921100.0,"Direitos humanos vão desde o direito à comida na mesa até ao lazer, à educação e à cultura enquanto condição fundamental para uma vida digna. Os direitos culturais fazem parte dos direitos humanos e a","Um show com grandes nomes da música brasileira, ao ar livre, aberto ao público em geral e gratuito é o carro chefe deste projeto, que terá shows de música e dança em outros palcos, para crianças e adolescentes em áreas de risco, pessoas da terceira idade, detentas, simpatizantes da diversidade sexual, negro(a)s e portadore(a)s de necessidades especiais. Uma feira cultural e um debate sobre cultura e direitos humanos completam o projeto que será realizado em seis dias consecutivos, em Recife-PE",1036240.0,"não aplicável","São Paulo","2010-01-29","SP","Varrição e limpeza dos locais após os eventos. A responsabilidade pelas medidas apresentadas será da Prefeitura da Cidade do Recife, parceira do projeto.","Todos os eventos previstos neste projeto serão de acesso livre, sem cobrança de ingressos, totalmente gratuitos.",921100.0,"BRINCANTE PRODUCOES ARTISTICAS LTDA - EPP","09","2009-10-20",770000.0,1036240.0
"<!-- /* Font Definitions */ @font-face {font-family:Verdana; panose-1:2 11 6 4 3 5 4 4 2 4; mso-font-charset:0; mso-generic-font-family:swiss; mso-font-pitch:variable; mso-font-signatu","Conta Corrente Bloqueada n. 12432-X, na Agência n. 3119-4, CANCELADA E/OU SUSPENSA, em 15/06/2010, para recebimento de aportes, tendo em vista a solicitação de arquivamento pelo proponente.","Artes Cênicas","Artigo 18","<!-- /* Font Definitions */ @font-face {font-family:Verdana; panose-1:2 11 6 4 3 5 4 4 2 4; mso-font-charset:0; mso-generic-font-family:swiss; mso-font-pitch:variable; mso-font-signatu","Andréa da Rosa Avancini - Diretora Promessas de Amor – 2009 – Rede Record – Erica Ramos - Os Murantes – Caminhos do coração – Rede Record - 2008 – Erica Figueiredo - Caminhos do Coração – Rede Record","Solicitação de arquivamento feito pelo proponente",0.0,"<!-- /* Style Definitions */ p.MsoNormal, li.MsoNormal, div.MsoNormal {mso-style-parent:; margin:0cm; margin-bottom:.0001pt; mso-pagination:widow-orphan; mso-hyphenate:none; font-siz","Passa-se num colégio rígido, onde os alunos só podem sair aos fins de semana. Mostra a história de nove jovens adolescentes falando dos conflitos e problemas de cada um. Abordando temas polêmicos como sexo, gravidez precoce, paixões pôr pessoas de idades diferentes e do mesmo sexo, aborto e drogas, RETRATOS DA JUVENTUDE é bem realista e escrita justamente pôr quem atravessa esses problemas: os jovens. É uma peça, ora musical, ora comédia e ora dramática que retrata a realidade atual dos adolescentes. Envolve também os três adultos da história (Professora, Inspetora), numa trama de suspense e mistério. É um grupo unido que convive desde a quarta série primária, e que são surpreendido pela entrada de um novo aluno, que marcará a vida deles. Voltam de férias e a trama começa. Mostra o último ano deles no colégio (terceiro ano do ensino médio), quando os conflitos pessoais sobre amor, virgindade, drogas, opção sexual estarão surgindo na vida de cada um. Todos se pegam envolvidos pôr problemas, retratando a realidade de suas dúvidas internas. Não podemos esquecer que os jovens de hoje serão os adultos de amanhã e que são esses conflitos definirão o tipo de homens, mulheres, profissionais, pais e mães que virão a ser. Mas na lembrança, terão sempre certeza de que sua juventude foi uma fase muito bonita apesar das dificuldades e experiências negativas.","Retrato da Juventude o Musical","03133993000168","Mecenato","Teatro","094765","Palestras sobre as temáticas do espetáculo para alunos de escolas públicas estaduais.30 O ingresso gratuito na estréia para estudantes das escolas publicas estaduais. Tornando assim o acesso à cultura",651310.0,"<!-- /* Style Definitions */ p.MsoNormal, li.MsoNormal, div.MsoNormal {mso-style-parent:; margin:0cm; margin-bottom:.0001pt; mso-pagination:widow-orphan; font-size:10.0pt; font-famil","É uma peça, ora musical, ora comédia e ora dramática que retrata a realidade atual dos adolescentes. Envolve também os três adultos da história (Professora, Inspetora), numa trama de suspense e mistério.",684210.0,"Não se aplica.","Rio de Janeiro","2010-03-18","RJ","Não se aplica.","<!-- /* Style Definitions */ p.MsoNormal, li.MsoNormal, div.MsoNormal {mso-style-parent:; margin:0cm; margin-bottom:.0001pt; mso-pagination:widow-orphan; mso-hyphenate:none; font-siz",651310.0,"2B Produções Ltda. ME","09","2009-12-01",0.0,684210.0
"Etapas Atividades Nov/09 Dez/09 Jan/10 Fev/10 Mar/10 Abr/10 Mai/10 Jun/10 Jul/10 Ago/10 Set/10 1 Pré-produção / Preparação 1.1 Divulgação do Re","Enc. Of. 2358/2010/CGAPIF, aos 23/09/2010, informando ao proponente do não acatamento da diligência efetuada por esta Secretaria, e caso haja interesse em prosseguir com a análise do projeto, que envi","Artes Integradas","Artigo 26","Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Font Definitions */ @font-face {font-family:Wingdings; panose-1:5 0 0 0 0 0 0 0 0 0; mso-font-charset:2; mso-gene","Ava Rocha (Ava Patrya Yndia Yracema Rocha) - vocais Ava Gaitán Rocha nasceu no Rio de Janeiro, Brasil em 21 de Março de 1979. Filha da cineasta colombiana Paula Gaitán e do cineasta brasileiro Glauber","Indeferido - não atendimento à diligência",0.0,"Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Style Definitions */ p.MsoNormal, li.MsoNormal, div.MsoNormal {mso-style-parent:; margin:0cm; margin-bottom:.000","não se aplica","CD AVA","08764455000195","Mecenato","Artes Integradas","094772","não se aplica",245443.0,"Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Font Definitions */ @font-face {font-family:Helvetica; panose-1:0 11 5 0 0 0 0 0 0 0; mso-font-charset:0; mso-gen","Gravar e promover o show de lançamento do primeiro álbum da carreira da cantora Ava Rocha, e sua banda AVA. Integram o conjunto os músicos Emiliano 7 (violão, guitarra e baixo), Daniel Castanheira (percussão, guitarra, baixo e eletrônicos) e Nana Love (violoncello, teclado e voz). O produto será composto de um CD de áudio junto a um CD-rom de vídeos, compondo um CD duplo. Todo o conteúdo será disponibilizado na internet.",249630.0,"não se aplica","São Paulo","2010-09-30","SP","não se aplica","Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Style Definitions */ p.MsoNormal, li.MsoNormal, div.MsoNormal {mso-style-parent:; margin:0cm; margin-bottom:.000",245443.0,"Ictus Produções Artísticas, Culturais e eventos Ltda - EPP","09","2009-11-01",0.0,249630.0
"Mês 1 / Mês 2 /Mês 3 Pesquisa e seleção de conteúdo (pesquisa histórica e iconográfica) Seleção de material e produção de textos Produção de imagem Curadoria Revisão e copidesque Digitalização e tra","Acusamos o recebimento da Prestação de Contas Final com Objeto Avulso, sendo Material de Divulgação (Cartazes, Folders, Bolsa, Catálogos), referente ao Ofício n. 3628/2011 - CGAA/DIC/SEFIC/MINC, datad","Artes Integradas","Artigo 18","Em 2010, Brasília completa meio século como capital do Brasil, e aqui se propõe abrir as comemorações do ano do cinqüentenário com uma homenagem a Lucio Costa. Se, como no feliz dizer de Darcy Ribeir","A) Curadores 1 - Maria Elisa Costa Faculdade Nacional de Arquitetura da Universidade do Brasil, Rio de Janeiro, 1954/58 Funções ocupadas Divisão de Urbanismo do D.U.A.da NOVACAP, 1959/64; Escritório d","Apresentou prestação de contas",0.0,"O Museu possui rampas e acesso acilidado aos portadores de necessidades especiais. A exposição terá equipamentos áudio que facilitará a compreeensão aos portadores de deficiencias visuais.","Roteiro expositivo 1. Formação 2. Anos 20 3. Anos 30 1930 / 1935 Casa Fábio Carneiro de Mendonça âââ€šÂ¬ââ‚¬Å“ 1930 Casa Fontes âââ€šÂ¬ââ‚¬Å“ 1930 Direção da Escola Nacional de Belas Artes âââ€šÂ¬ââ‚¬Å“ 1930 / 31 Casa Schwartz 1932 Clube Marimbas 1932 Casas sem Dono 1933 Monlevade 1934 4. Ministério da Educação e Saúde 1936 5. Anos 30 ââ 1937 / 1939 Museu das Missões Patrimônio Histórico 1937 Cidade Universitária 1937 Pavilhão do Brasil, Feira Mundial de Nova York 1938 / 39 6. Anos 40 Casa Hungria Machado Casa Saavedra Parque Guinle Park Hotel 7. Anos 50 1950 / 1956 Casa do Brasil na Cidade Universitária de Paris 1952 Sede social do Jockey Club 1954 Altar para o Congresso Eucarístico 1955 Sede do Banco Aliança 1956 8. Plano Piloto de Brasília 1957 9. Anos 60 Cobertura para a filha Maria Elisa 1963 Pavilhão do Brasil na XIII Trienal de Milão 1964 Rampas de acesso ao Outeiro da Glória 1965 Plano Piloto para a Baixada de Jacarepaguá 1969 10. Anos 70 Monumento a Estácio de Sá 1970 Proposta para Museu de Ciência e Tecnologia 1970 Nova Capital da Nigéria 1977 N ovo Pólo Urbano em São Luis 1979 11. Anos 80 Casa para a filha Helena Casa para Edgard Duvivier. 12. Anos 90 Concepção editorial e gráfica de seu único livro, â€œLUCIO COSTA REGISTRO DE UMA VIVÊNCIA Agenciamento interno do Espaço Lucio Costa","LUCIO COSTA - o arquiteto","04115779000141","Mecenato","Artes Integradas","094773","Material gráfico Exposição Ã˜ Folder (20x9,9cm, 4/4, offset 120gr) - 15.000 unidades Ã˜ Cartaz, formato 640 x 940 mm, em COUC.MATTE CML. 115 g/m2 - 1000 unidades Ã˜",1280754.99,"Trazer a público o legado de Lucio Costa de forma comunicativa e dinâmica, buscando mostrar a diversidade da sua atuação na vida brasileira ao longo do século XX, no contexto de cada momento específic","Exposição comemorativa dos 50 anos da fundação de Brasília sobre a vida e obra de seu criador. A exposição será realizada no Museu Nacional de Brasília - Museu da República. Em paralelo será realizado um seminário com a finalidade de promover debates e discussões sobre a obra do arquiteto/ urbanista no contexto do seu tempo. Um amplo projeto de ação educativa, promovido pelo GDF, será desenvolvido com contexto da exposição.",1457571.0,"Proposta museográfica O percurso da exposição fica definido por seqüências de expositores verticais ortogonalmente dispostos, cujo conteúdo segue, aproximadamente, uma linha cronológica. Est","Rio de Janeiro","2010-08-14","RJ","Não tem ativdades ao ar livre.","A entrada do Museu é franca. O seminário será gratuito e as inscrições serão feitas através de site do projeto.",1280754.99,"Associação Casa de Lúcio Costa","09","2009-11-14",550561.85,1457571.0
"Preparação e execução do projeto 2009: junho a novembro buscar parcerias e captação de recursos julho e agosto Seleção dos grupos e concepção do projeto julho a setembro definições programação das apr","Projeto arquivado definitivamente.","Artes Integradas","Nao enquadrado","O Projeto visa libertar a capacidade criadora das pessoas, de levá-las a ocupar plenamente seus lugares de atores culturais, sociais e econômicos na comunidade e em seu território. É somente atravês d","Ficha Técnica Produção Artística: Paulo Albuquerque Produtora Executiva: Ana Claudia Sena Direção Musical: Poty Roteirista: Carri Costa Curadoria : Emilia Porto Coordenação: Carla Werneck e","Arquivado",0.0,"Todas as medidas serão providenciadas,com vistas a garantir o acesso dos portadores de necessidades especiais: colocação de rampas de acesso; inserção de corre mão espaços reservados para cadeirantes","","NATAL POPULAR DO CEARÁ","10328523000115","Mecenato","Artes Integradas","094778","",0.0,"O Desenvolvimento local sustentável enquanto processo dinâmico de transformação da sociedade e do meio,é pautado na participação ativa e criativa das comunidades locais. a cidade de Aquiraz é reconhec","Serão realizados espetáculos natalinos de rua, exaltando as mais legitimas expressões da cultura popular cearense, bem como a criatividade e sensibilização de seu povo, expressada através dos grupos folclóricos , da música, teatro, artesanato de rendas, peças em cipó, folguedos como: reisado e pastoril, suscitando na preservação desse patrimônio cultural imaterial através de sua difusão e salvaguarda.",1326150.0,"A proposta em questão foi elaborada para realizar-se no município de Aquiraz,considerado um dos municipios que mais investi na sua cultura, localizada a 27 km da capital no litoral leste, com popula","Fortaleza","2010-01-06","CE","","Todas as apresentações serão realizadas em espaços gratuitos e de fácil acesso, para que todas as pessoas, de todas as classes e niveis sociais possam estar inseridas, em toda programação cultural.",0.0,"W.A Natal e Marketing Corporativo Ltda ","09","2009-11-29",0.0,1326150.0
"1 - PLANEJAMENTO (DIREÇÃO DE PRODUÇÃO) que consiste em viabilizar financeiramente o projeto, captar recursos de patrocinadores e apoiadores, além de supervisionar e coordenar o trabalho de pré-produç","PARCELAMENTO AUTORIZADO EM 19 PARCELAS","Artes Cênicas","Artigo 18","Este projeto tem como objetivo principal a viabilização financeira do espetáculo teatral “MACBETH”, texto clássico de William Shakespeare, provavelmente escrita em 1606, direção de GABRIEL VILLELA, co","Ficha Técnica Autor: William Shakespeare Elenco: Thiago Lacerda Leopoldo Pacheco Walderez de Barros Maria do Carmo Soares Bete Coelho Helô Cintra Elias Andreato Claudio Fontana Rodrigo Fregnan P","Débito Parcelado",0.0,"Em teatros equipados com audiodescrição e linguagem de libras, como o Teatro VIVO, em São Paulo, garantiremos entrada gratuita a portadores de deficiência visual e auditiva, além da entrega do program","Macbeth é um conto clássico de ambições frustradas e ganância.Macbeth e seu amigo, Banquo, voltavam vitoriosos de uma batalha pelo reino da Escócia quando encontraram três bruxas. As estranhas irmãs saudaram Banquo como o pai de reis e a Macbeth como Barão de Cawdor, que se tornará rei. Pouco depois, Macbeth descobre que o Rei Duncan acabara de tornar Macbeth Barão de Cawdor. A estranha ocorrência depois das profecias das bruxas fica na cabeça de Macbeth e ele escreve a sua mulher sobre isso. Lady Macbeth, ambiciosa e impiedosa, vê o que deve ser feito após ler a carta de Macbeth. Eles devem matar o Rei e tomar o trono. Em breve, Duncan deveria ir ao castelos deles, para passar a noite. Macbeth e sua mulher tramam para matar o Rei e se tornarem os novos governantes da Escócia. Mesmo em dúvida a princípio, Macbeth mata Duncan e um de seus empregados. Lady Macbeth toma a faca e encontra sangue em suas mãos, então eles as lavam antes de despertar os outros para avisá-los sobre os assassinatos.Macbeth se torna rei, mas logo começa a temer Banquo, que ouvira as profecias das bruxas, e a invejá-lo, pois ele seria pai de reis. Inevitavelmente, Macbeth assassina Banquo. Entretanto, os assassinatos ficaram em sua mente a atormentá-lo e ele vê o fantasma de Banquo o perseguindo à mesa. A medida que Macbeth fica mais nervoso, e com maior culpa escondida, suas ações se tornam mais cruéis. Ele mata a mulher e os filhos de Macduff, seu rival, e ouve das bruxas que ninguém nascido de uma mulher poderia matá-lo. Macduff se alia ao filho de Banquo e herdeiro do trono, para enfrentar Macbeth. Eles levam um exército, lutam e destroem a fortaleza de Macbeth. Macbeth, culpado e descontrolado, descobre que sua mulher enlouquecera atormentada pelos crimes que cometera havia se matado. Macbeth luta com Maduff e descobre que ele nascera por uma cesariana e não um parto natural, driblando a profecia. Macbeth é morto e os herdeiros de Banquo tomam o trono.","Macbeth","01135772000101","Mecenato","Teatro","094779","não relevante",887920.0,"O projeto nasceu através do interesse de empresas patrocinadoras em associar-se a um projeto de encenação de um grande texto clássico que retratasse um dos grandes problemas dos governos: a luta pelo","Encenação do clássico teatral MACBETH, texto de William Shakespeare, direção de GABRIEL VILLELA, com THIAGO LACERDA, WALDEREZ DE BARROS, CLAUDIO FONTANA, BETE COELHO e ELIAS ANDREATO, no elenco, para a cidade de São Paulo e interior.e Rio de Janeiro",973200.0,"não relevante","Rio de Janeiro","2013-01-31","RJ","não relevante","O espetáculo fará sessôes de pré-estréia especiais gartuitas a estudantes de artes cênicas e alunos da rede pública de ensino, interessados neste texto histórico. Durante a temporada, ofereceremos ing",887920.0,"B. F. Produções Ltda.","09","2009-11-15",887920.0,973200.0
"Etapas: Novembro de 2009: Curadoria da Mostra: Contratação do curador da exposição já disponibilizadas que virá ao Brasil. a) Documentação das mesmas; fotografias digitalizadas para a documentação n","Projeto arquivado definitivamente.","Artes Integradas","Artigo 18","O objetivo é reunir em uma grande mostra, as mais fascinante produções gráficas do artista catalão fruto das suas fases mais importantes e representativas de toda sua obra: Ubu Roi, Parleur Seul e Le","Curador da Exposição: Marcello Smarrelli Historiador da arte, crítico e curador. Depois de adquirir a licenciatura de história da arte na Universidade La Sapienza di Roma e a especialização em Hist","Arquivado",0.0,"Os espaços expositivos deverão estar em conformidade no que diz respeito ao acesso do público portador de necessidades especiais, como acesso de cadeirantes e preferencias. Haverão monitorias especi","não é o caso","Joan Miró","04749009000150","Mecenato","Artes Integradas","094780","Catálogo: 64 páginas, no formato aberto 42x28cm, fechado 21x28cm, impresso em 4x4 cores também no papel couche fosco 170g, sendo a capa com laminação fosca na frente e reserva de verniz. Cartilha: 2",0.0,"Joan Miró foi um dos maiores artistas que a era moderna conheceu. Sua contribuição à arte moderna foi e ainda é muito substancial. Muitos artista brasileiros foram influenciados pelo seu gesto e uso d","trata-se de uma grande exposição de 85 gravuras originais do artista catalão Joan Miró",2646877.0,"A Exposição é constituída por um corpo de 85 obras que representam o modo fascinante e exaustivo de produções das gravuras de Joan Miró, que tiveram papel fundamental em sua carreira artística. Esta","São Paulo","2010-11-10","SP","Não é o caso","As Exposições terão entrada franca. Serão doados pacotes educacionais (10.000 no total) contendo uma cartilha e um CD-Rom para as Secretarias do Estado da Cultura, das cidades por onde a Mostra itiner",0.0,"Museu Céu Aberto, Cultura, Ecologoa e Desenvolvimento","09","2009-11-10",0.0,2646877.0
"Estratégia de ação (passo a passo, o que será feito para realizar o projeto) 1 – aprovação do projeto e captação de recursos; 2- locação de espaço físico (a fim de possibilitar a realização da","Projeto ARQUIVADO, conforme solicitação do proponente constante nos autos.","Música","Artigo 18","OBJETIVO GERAL DO PROJETO: Criar um coral com 50 crianças e adolescentes de regiões com vulnerabilidade social, com idade entre 8 a 14 anos, com pouco ou nenhum contato com instituições culturais, n","Maestrina: Denise Mohr Curriculo: Graduada em Composição e Regência pela Escola de Música e Belas Artes do Paraná, mesma instituição na qual se especializou em Análise Musical no curso de Pós- Gr","Arquivado - solicitação de arquivamento, de projeto de incentivo fiscal, feito pelo proponente",0.0,"O local - SCAR - e a estrutura do projeto do coral têm condições de atender portadores de necessidades especiais. O único limite para participar do coral é idade, já que é voltado para crianças e jove","não se aplica.","CANTO CORAL NA SCAR","10782195000122","Mecenato","Música Erudita","094781","RESUMO DOS CONTEÚDOS MINISTRADOS e Metodologia CONTEÚDOS METODOLOGIA Técnica vocal Obtendo um breve conhecimento do aparelho fonador; princípios de respiração, apoio, exercitando",241274.0,"O Projeto apresenta de maneira clara e consistente uma proposta de trabalho que visa oferecer às crianças atendidas a oportunidade de vivenciar experiências artística/culturais que ampliarão seu unive","Ministrar aulas/ensaios de Canto Coral duas vezes por semana, com duração de duas horas de aula por turma, sendo que as aulas serão ministradas no contraturno escolar, de forma totalmente gratuita. Será fornecido a todos os participantes deste projeto o transporte para os ensaios, material didático, uniformes para as apresentações, transporte e alimentação para as apresentações. Serão selecionadas crianças e adolescentes de 8 a 14 anos em situação de vulnerabilidade social de nossa cidade.",244510.0,"SOBRE TRANSPORTE: * as crianças virão para a SCAR e posteriormente serão levadas ao bairro onde farão a apresentação, para isto, precisamos fretar um ônibus a cada apresentação para levá-las ao local","Jaraguá do Sul","2010-10-31","SC","não se aplica.","Todas as atividades do projeto Coral previstas neste projeto serão gratuítas.",241274.0,"Coral da Sociedade Cultura Artística – SCAR","09","2009-11-01",0.0,244510.0
